Исходный список:
Bugovsky       9141246129
Kurchinskiy    9141246129
Prohibitov     9485937590
Proflopiev     9239573846
Bulevenko      9124749812
Vayfayenko     9175873572
Kotlinky       9146339561
Kulerov        9567453829
Razrabaev      9574837583
Peremenny      9949275836
Сортированный список:
Bulevenko      9124749812
Bugovsky       9141246129
Kurchinskiy    9141246129
Kotlinky       9146339561
Vayfayenko     9175873572
Proflopiev     9239573846
Prohibitov     9485937590
Kulerov        9567453829
Razrabaev      9574837583
Peremenny      9949275836
